slug,name,grade,province,city,source,source_url,license
5a-shanghai-001,西沙明珠湖景区,5A,上海市,崇明区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanghai-002,上海科技馆,5A,上海市,浦东新区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanghai-003,上海野生动物园,5A,上海市,浦东新区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-shanghai-004,中国共产党一大•二大•四大纪念馆景区,5A,上海市,黄浦区,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-yunnan-001,丽江市玉龙雪山景区,5A,云南省,丽江市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-yunnan-002,保山市火山热海旅游区,5A,云南省,保山市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-yunnan-003,腾冲市和顺古镇景区,5A,云南省,保山市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-yunnan-004,大理州崇圣寺三塔文化旅游区,5A,云南省,大理白族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-yunnan-005,文山州普者黑旅游景区,5A,云南省,文山壮族苗族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-yunnan-006,昆明市昆明世博园景区,5A,云南省,昆明市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-yunnan-007,西双版纳州中科院西双版纳热带植物园,5A,云南省,西双版纳傣族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-yunnan-008,迪庆州普达措国家公园,5A,云南省,迪庆藏族自治州,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-neimenggu-001,兴安盟阿尔山-柴河旅游景区,5A,内蒙古自治区,呼伦贝尔市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
5a-neimenggu-002,呼伦贝尔市中俄边境旅游区,5A,内蒙古自治区,呼伦贝尔市,文化和旅游部 · 全国5A级旅游景区名录,https://lyfw.mct.gov.cn/site/special/scenic,政府公开信息（官方名录）
